tweet_id,text,Bag_of_Words
2927,"Canada have seen an uptick in #intlstudents from Vietnam, Pakistan, and Bangladesh. 
Join WES experts in the upcoming months as they dive into these three #education systems and explain WES methodologies when evaluating these credentials. https://t.co/4j2qK7G2FA
#highered https://t.co/b4Uxf8l06o","{'intlstudents': 1, 'in': 2, 'have': 1, 'httpstcob4uxf8l06o': 1, 'seen': 1, 'three': 1, 'experts': 1, 'explain': 1, 'methodologies': 1, 'join': 1, 'systems': 1, 'evaluating': 1, 'httpstco4j2qk7g2fa': 1, 'bangladesh': 1, 'highered': 1, 'as': 1, 'pakistan': 1, 'they': 1, 'dive': 1, 'canada': 1, 'vietnam': 1, 'these': 2, 'education': 1, 'uptick': 1, 'from': 1, 'wes': 2, 'an': 1, 'into': 1, 'when': 1, 'months': 1, 'credentials': 1, 'and': 2, 'upcoming': 1, 'the': 1}"
3091,RT @deepgreendesign: Is #CPC realizing @CPC_HQ is a throng of incompetent and ignorant career politicians grifting Canada for golden pensio,"{'incompetent': 1, 'for': 1, 'politicians': 1, 'pensio': 1, 'is': 2, 'career': 1, 'a': 1, 'rt': 1, 'canada': 1, 'cpc': 1, 'grifting': 1, 'deepgreendesign': 1, 'throng': 1, 'ignorant': 1, 'realizing': 1, 'cpchq': 1, 'of': 1, 'golden': 1, 'and': 1}"
3506,"@ErinOTooleMP @PeterMacKay So youre concerned about racism creeping into this race, but not about sharia law creeping into Canada?","{'this': 1, 'but': 1, 'racism': 1, 'so': 1, 'youre': 1, 'canada': 1, 'law': 1, 'race': 1, 'not': 1, 'petermackay': 1, 'erinotoolemp': 1, 'into': 2, 'sharia': 1, 'concerned': 1, 'about': 2, 'creeping': 2}"
3764,"Canadian Prime Minister Justin Trudeau self-isolating over coronavirus fears, his office confirms https://t.co/PidbUGJ43l","{'his': 1, 'fears': 1, 'trudeau': 1, 'office': 1, 'minister': 1, 'coronavirus': 1, 'confirms': 1, 'over': 1, 'canadian': 1, 'justin': 1, 'selfisolating': 1, 'httpstcopidbugj43l': 1, 'prime': 1}"
4590,"got the news this afternoon that my university is shut down for the remainder of the semester.

some students dont have a home &amp; some are saying goodbye forever.

but our response: worship.
despite the heartache, tears, &amp; confusion, Jesus is worthy &amp; He gets the glory. https://t.co/XRkZElRvWE","{'down': 1, 'semester': 1, 'for': 1, 'despite': 1, 'this': 1, 'worship': 1, 'have': 1, 'are': 1, 'is': 2, 'got': 1, 'remainder': 1, 'but': 1, 'students': 1, 'saying': 1, 'our': 1, 'httpstcoxrkzelrvwe': 1, 'glory': 1, 'a': 1, 'dont': 1, 'tears': 1, 'amp': 3, 'that': 1, 'heartache': 1, 'goodbye': 1, 'home': 1, 'confusion': 1, 'response': 1, 'my': 1, 'worthy': 1, 'forever': 1, 'he': 1, 'university': 1, 'gets': 1, 'afternoon': 1, 'news': 1, 'jesus': 1, 'shut': 1, 'some': 2, 'of': 1, 'the': 5}"
4823,"If you're from Halifax and have swam in the Harbour, you're immune to the coronavirus now","{'in': 1, 'have': 1, 'harbour': 1, 'immune': 1, 'if': 1, 'youre': 2, 'swam': 1, 'coronavirus': 1, 'to': 1, 'now': 1, 'from': 1, 'halifax': 1, 'and': 1, 'the': 2}"
4894,The Women of Top of the World event in Halifax -- originally planned for April 1 with Tessa as one of the speakers -- has been cancelled  due to the #COVID19 + Hockey Women's World Championship cancellation. They will try to reschedule for 2021.,"{'for': 2, 'due': 1, 'in': 1, 'women': 1, 'try': 1, 'originally': 1, 'covid19': 1, 'event': 1, 'world': 2, 'as': 1, 'has': 1, 'womens': 1, 'championship': 1, 'they': 1, 'to': 2, 'cancelled': 1, '1': 1, '2021': 1, 'been': 1, 'cancellation': 1, 'planned': 1, 'april': 1, 'reschedule': 1, 'will': 1, 'tessa': 1, 'with': 1, 'speakers': 1, 'halifax': 1, 'top': 1, 'hockey': 1, 'of': 3, 'one': 1, 'the': 4}"
5385,Quebec Premier Francois Legault is asking all people returning from travel abroad to self-isolate for 14 days. This is mandatory for public sector employees in the health and education systems. The province is also banning events with more than 250 people. https://t.co/ey2DtcZVbp,"{'health': 1, 'for': 2, 'premier': 1, 'people': 2, 'this': 1, 'in': 1, 'is': 3, 'legault': 1, 'than': 1, 'mandatory': 1, 'selfisolate': 1, 'francois': 1, 'abroad': 1, 'systems': 1, '250': 1, 'all': 1, 'employees': 1, 'public': 1, 'sector': 1, 'banning': 1, 'quebec': 1, 'to': 1, 'travel': 1, 'also': 1, 'education': 1, '14': 1, 'with': 1, 'from': 1, 'province': 1, 'httpstcoey2dtczvbp': 1, 'returning': 1, 'more': 1, 'asking': 1, 'events': 1, 'and': 1, 'days': 1, 'the': 2}"
5409,"Eight years ago, Parliament voted unanimously to support Shannen's Dream calling for equal rights for First Nations education. Eight years later, First Nations children across Canada are still waiting for Shannen's Dream to become a reality. #ShannensDream #stillwaiting https://t.co/kDW4nlPP7S","{'stillwaiting': 1, 'for': 3, 'support': 1, 'children': 1, 'across': 1, 'years': 2, 'dream': 2, 'are': 1, 'calling': 1, 'parliament': 1, 'voted': 1, 'a': 1, 'canada': 1, 'to': 2, 'become': 1, 'shannens': 2, 'equal': 1, 'education': 1, 'httpstcokdw4nlpp7s': 1, 'ago': 1, 'shannensdream': 1, 'still': 1, 'reality': 1, 'first': 2, 'nations': 2, 'rights': 1, 'waiting': 1, 'unanimously': 1, 'later': 1, 'eight': 2}"
5556,"Canada didnt block Chinese from traveling there, instead invested time &amp; money on testing, education &amp; disease management.

Trump blocked Chinese, then endlessly praised himself for ""containing"" COVID-19 while ignoring need for testing, education &amp; disease management.

Results: https://t.co/HNXvDSY89x","{'for': 2, 'trump': 1, 'instead': 1, 'covid19': 1, 'himself': 1, 'traveling': 1, 'ignoring': 1, 'amp': 3, 'canada': 1, 'testing': 2, 'there': 1, 'block': 1, 'results': 1, 'need': 1, 'on': 1, 'education': 2, 'disease': 2, 'then': 1, 'management': 2, 'while': 1, 'from': 1, 'money': 1, 'endlessly': 1, 'blocked': 1, 'didnt': 1, 'praised': 1, 'time': 1, 'invested': 1, 'containing': 1, 'httpstcohnxvdsy89x': 1, 'chinese': 2}"
65,"RT @marialavis: Long-term care facilities. This is the most vulnerable group of people, as we have seen from the outbreak at #LynnValley #","{'people': 1, 'this': 1, 'have': 1, 'is': 1, 'seen': 1, 'facilities': 1, 'longterm': 1, 'as': 1, 'rt': 1, 'care': 1, 'most': 1, 'at': 1, 'outbreak': 1, 'marialavis': 1, 'from': 1, 'vulnerable': 1, 'lynnvalley': 1, 'we': 1, 'group': 1, 'of': 1, 'the': 2}"
191,"RT @spectatorindex: BREAKING: Sophie Trudeau, wife of Canada's PM, tests positive for coronavirus.","{'pm': 1, 'for': 1, 'breaking': 1, 'trudeau': 1, 'tests': 1, 'spectatorindex': 1, 'rt': 1, 'coronavirus': 1, 'sophie': 1, 'positive': 1, 'wife': 1, 'of': 1, 'canadas': 1}"
418,"@pigeonkami that is so fucking adorable.

yea distance relationships are difficult. i know this oh so well. 
im on west coast canada and my relationships have included 4 brits and 4 americans in the last dozen years.","{'years': 1, 'this': 1, 'in': 1, 'have': 1, 'are': 1, 'is': 1, 'oh': 1, 'fucking': 1, '4': 2, 'included': 1, 'so': 2, 'coast': 1, 'well': 1, 'americans': 1, 'west': 1, 'last': 1, 'canada': 1, 'im': 1, 'i': 1, 'that': 1, 'know': 1, 'relationships': 2, 'difficult': 1, 'brits': 1, 'on': 1, 'my': 1, 'pigeonkami': 1, 'yea': 1, 'and': 2, 'distance': 1, 'dozen': 1, 'adorable': 1, 'the': 1}"
541,130 confirmed cases in Canada already  so I cant go back to my country ..,"{'in': 1, 'already': 1, 'so': 1, 'confirmed': 1, 'country': 1, 'canada': 1, 'i': 1, 'to': 1, 'go': 1, 'my': 1, 'back': 1, '130': 1, 'cases': 1, 'cant': 1}"
558,@BusyBurn I'm going to educate you toots.  You're not REALLY the epitome of a Health Professional Specializing in Mental Health Disorders and Dementia are you?  I'm from Canada baby... Lots of Canadians join the Corps... https://t.co/piuTZh8bys  Now you're smarter.,"{'health': 2, 'lots': 1, 'httpstcopiutzh8bys': 1, 'in': 1, 'professional': 1, 'are': 1, 'epitome': 1, 'join': 1, 'toots': 1, 'smarter': 1, 'going': 1, 'youre': 2, 'a': 1, 'canadians': 1, 'canada': 1, 'im': 2, 'to': 1, 'now': 1, 'you': 2, 'specializing': 1, 'not': 1, 'from': 1, 'baby': 1, 'disorders': 1, 'busyburn': 1, 'educate': 1, 'really': 1, 'mental': 1, 'dementia': 1, 'of': 2, 'and': 1, 'corps': 1, 'the': 2}"
1010,"As a growing number of countries are resorting to school and university closures, there are some online tools that educators and students can use to teach and learn virtually. https://t.co/HDYctwX40C 
#Covid_19","{'number': 1, 'school': 1, 'are': 2, 'learn': 1, 'covid19': 1, 'teach': 1, 'online': 1, 'students': 1, 'a': 1, 'tools': 1, 'as': 1, 'closures': 1, 'growing': 1, 'that': 1, 'to': 2, 'there': 1, 'countries': 1, 'can': 1, 'virtually': 1, 'university': 1, 'educators': 1, 'use': 1, 'resorting': 1, 'some': 1, 'of': 1, 'and': 3, 'httpstcohdyctwx40c': 1}"
1224,RT @AviSanjel: Cant believe Im attending The Texas A&amp;M online University,"{'online': 1, 'rt': 1, 'aampm': 1, 'im': 1, 'believe': 1, 'university': 1, 'texas': 1, 'attending': 1, 'the': 1, 'avisanjel': 1, 'cant': 1}"
1258,"RT @murpharoo: The ban on mass gatherings ""of course does not include schools,"" the PM says. ""It does not include university lectures. It d","{'pm': 1, 'mass': 1, 'schools': 1, 'course': 1, 'ban': 1, 'it': 2, 'rt': 1, 'gatherings': 1, 'on': 1, 'says': 1, 'university': 1, 'not': 2, 'include': 2, 'murpharoo': 1, 'does': 2, 'of': 1, 'the': 2, 'lectures': 1, 'd': 1}"
1277,"RT @yiIingtan: Some good news to cheer you up:
Korea and China are recovering. Vietnam had their cases under control until British tourists","{'tourists': 1, 'are': 1, 'good': 1, 'cheer': 1, 'up': 1, 'had': 1, 'rt': 1, 'recovering': 1, 'until': 1, 'yiiingtan': 1, 'to': 1, 'you': 1, 'vietnam': 1, 'china': 1, 'korea': 1, 'their': 1, 'british': 1, 'news': 1, 'under': 1, 'control': 1, 'some': 1, 'and': 1, 'cases': 1}"
1360,"RT @Diaz_Jorge77: UCLA
USC
UC Irvine
UC Santa Barbara
CSLB
San Diego State
Loyola Marymount 
Pepperdine University
Cal State Northridge
Cha","{'loyola': 1, 'usc': 1, 'pepperdine': 1, 'cslb': 1, 'state': 2, 'irvine': 1, 'barbara': 1, 'ucla': 1, 'rt': 1, 'marymount': 1, 'cal': 1, 'northridge': 1, 'uc': 2, 'san': 1, 'university': 1, 'santa': 1, 'diego': 1, 'cha': 1, 'diazjorge77': 1}"
1840,Fri midnight: Temp -2 C; Windchill -3; Humidity 87%; Press 102.9 kPa / rising.,"{'kpa': 1, 'rising': 1, '87': 1, '1029': 1, 'humidity': 1, 'temp': 1, 'midnight': 1, 'press': 1, '2': 1, 'c': 1, 'windchill': 1, 'fri': 1, '3': 1}"
2173,RT @icetalking: The Women of Top of the World event in Halifax -- originally planned for April 1 with Tessa as one of the speakers -- has b,"{'for': 1, 'in': 1, 'women': 1, 'originally': 1, 'event': 1, 'world': 1, 'as': 1, 'has': 1, 'rt': 1, '1': 1, 'planned': 1, 'b': 1, 'april': 1, 'tessa': 1, 'with': 1, 'speakers': 1, 'halifax': 1, 'top': 1, 'icetalking': 1, 'of': 3, 'one': 1, 'the': 3}"
2812,"Remote Job: Global, Worldwide
International Education Sales Consultants
https://t.co/UY6ZJDolwH","{'worldwide': 1, 'job': 1, 'consultants': 1, 'httpstcouy6zjdolwh': 1, 'global': 1, 'remote': 1, 'education': 1, 'international': 1, 'sales': 1}"
2895,"@AlphaDaemon @drmistercody @jkfecke @jonfavs We dont crack the top 20 in education (or healthcare, probably). Canada was 6th.","{'in': 1, 'crack': 1, 'jonfavs': 1, 'dont': 1, 'alphadaemon': 1, '6th': 1, 'or': 1, 'canada': 1, 'probably': 1, 'was': 1, 'education': 1, 'drmistercody': 1, '20': 1, 'jkfecke': 1, 'healthcare': 1, 'we': 1, 'top': 1, 'the': 1}"
2906,RT @CBCAlerts: Quebec Premier Francois Legault is asking all people returning from travel abroad to self-isolate for 14 days. This is manda,"{'for': 1, 'premier': 1, 'people': 1, 'this': 1, 'is': 2, 'legault': 1, 'manda': 1, 'selfisolate': 1, 'francois': 1, 'abroad': 1, 'all': 1, 'rt': 1, 'quebec': 1, 'to': 1, 'travel': 1, '14': 1, 'from': 1, 'returning': 1, 'cbcalerts': 1, 'asking': 1, 'days': 1}"
2941,"Canada needs to reverse #PostTruth ideology on #Healthcare &amp; reveal the true failures of America private healthcare &amp; #Education.

This investigative journalism has already been done by @frontlinepbs, watch &amp; learn more. 

#OnPoli #CdnPoli #Elxn44 #COVID19 #SciComm #Ableg #OntEd https://t.co/tZrhXEXU7X","{'elxn44': 1, 'frontlinepbs': 1, 'this': 1, 'learn': 1, 'posttruth': 1, 'already': 1, 'private': 1, 'ideology': 1, 'covid19': 1, 'reveal': 1, 'journalism': 1, 'cdnpoli': 1, 'watch': 1, 'has': 1, 'amp': 3, 'canada': 1, 'to': 1, 'reverse': 1, 'been': 1, 'on': 1, 'education': 1, 'httpstcotzrhxexu7x': 1, 'by': 1, 'failures': 1, 'scicomm': 1, 'ableg': 1, 'onted': 1, 'true': 1, 'done': 1, 'more': 1, 'healthcare': 2, 'onpoli': 1, 'investigative': 1, 'needs': 1, 'america': 1, 'of': 1, 'the': 1}"
3009,"RT @Sask_NDP: Next week the Sask Party will be presenting a budget that isnt grounded in reality. 

People are struggling and need real in","{'grounded': 1, 'sask': 1, 'people': 1, 'in': 2, 'are': 1, 'real': 1, 'saskndp': 1, 'a': 1, 'rt': 1, 'isnt': 1, 'that': 1, 'week': 1, 'need': 1, 'struggling': 1, 'party': 1, 'presenting': 1, 'will': 1, 'reality': 1, 'next': 1, 'budget': 1, 'be': 1, 'and': 1, 'the': 1}"
3015,"RT @kurteichenwald: Canada didnt block Chinese from traveling there, instead invested time &amp; money on testing, education &amp; disease manageme","{'instead': 1, 'traveling': 1, 'rt': 1, 'amp': 2, 'canada': 1, 'testing': 1, 'there': 1, 'block': 1, 'on': 1, 'education': 1, 'disease': 1, 'from': 1, 'money': 1, 'kurteichenwald': 1, 'didnt': 1, 'time': 1, 'manageme': 1, 'invested': 1, 'chinese': 1}"
3061,M&amp;A: Ogier Advises SEB Group On The Acquisition Of Stake In Canadian School Chain ... - https://t.co/bDYt9djTlR #InvestEd #education #K12 #schoolchain #acquisitions #deals,"{'acquisition': 1, 'advises': 1, 'school': 1, 'in': 1, 'stake': 1, 'schoolchain': 1, 'seb': 1, 'on': 1, 'canadian': 1, 'education': 1, 'mampa': 1, 'httpstcobdyt9djtlr': 1, 'k12': 1, 'acquisitions': 1, 'deals': 1, 'chain': 1, 'invested': 1, 'group': 1, 'of': 1, 'ogier': 1, 'the': 1}"
3106,RT @CBCNL: Parents fighting for the education of their deaf son say the province is spending $400 an hour to defend itself against a human,"{'for': 1, '400': 1, 'is': 1, 'human': 1, 'parents': 1, 'a': 1, 'rt': 1, 'cbcnl': 1, 'hour': 1, 'to': 1, 'education': 1, 'son': 1, 'itself': 1, 'their': 1, 'province': 1, 'say': 1, 'an': 1, 'defend': 1, 'fighting': 1, 'deaf': 1, 'against': 1, 'spending': 1, 'of': 1, 'the': 2}"
3199,"RT @kurteichenwald: Canada didnt block Chinese from traveling there, instead invested time &amp; money on testing, education &amp; disease manageme","{'instead': 1, 'traveling': 1, 'rt': 1, 'amp': 2, 'canada': 1, 'testing': 1, 'there': 1, 'block': 1, 'on': 1, 'education': 1, 'disease': 1, 'from': 1, 'money': 1, 'kurteichenwald': 1, 'didnt': 1, 'time': 1, 'manageme': 1, 'invested': 1, 'chinese': 1}"
3280,"RT @kurteichenwald: Canada didnt block Chinese from traveling there, instead invested time &amp; money on testing, education &amp; disease manageme","{'instead': 1, 'traveling': 1, 'rt': 1, 'amp': 2, 'canada': 1, 'testing': 1, 'there': 1, 'block': 1, 'on': 1, 'education': 1, 'disease': 1, 'from': 1, 'money': 1, 'kurteichenwald': 1, 'didnt': 1, 'time': 1, 'manageme': 1, 'invested': 1, 'chinese': 1}"
3391,"The 10 Most Economically Stable Countries:

1. Switzerland
2. Canada
3. Germany
4. Denmark
5. Japan
6. Australia
7. Sweden
8. Netherlands
9.Norway
10. Austria

(U.S. News &amp; World Report)","{'economically': 1, '8': 1, '4': 1, 'germany': 1, 'world': 1, 'switzerland': 1, 'us': 1, '5': 1, '10': 2, 'amp': 1, 'canada': 1, 'most': 1, '6': 1, 'countries': 1, '1': 1, 'netherlands': 1, 'denmark': 1, '2': 1, 'news': 1, 'report': 1, 'japan': 1, '7': 1, 'austria': 1, 'australia': 1, '9norway': 1, '3': 1, 'stable': 1, 'sweden': 1, 'the': 1}"
3800,BBC News - Canadian PM Trudeau's wife tests positive for coronavirus https://t.co/bpzvvqjwoF,"{'pm': 1, 'for': 1, 'tests': 1, 'coronavirus': 1, 'canadian': 1, 'httpstcobpzvvqjwof': 1, 'news': 1, 'trudeaus': 1, 'positive': 1, 'wife': 1, 'bbc': 1}"
3806,Canadian PM Trudeaus wife Sophietests positive for coronavirus https://t.co/ubPBgUb7QM via @AP,"{'pm': 1, 'for': 1, 'httpstcoubpbgub7qm': 1, 'sophietests': 1, 'ap': 1, 'coronavirus': 1, 'canadian': 1, 'via': 1, 'trudeaus': 1, 'positive': 1, 'wife': 1}"
4126,"Gender ideology is facilitating the abuse of children. The state is not only allowing it; it is encouraging it.

Please watch this speech by Professor John Whitehall, Professor of Paediatrics at Western Sydney University.
https://t.co/CFVEPBQ2kG","{'please': 1, 'facilitating': 1, 'children': 1, 'httpstcocfvepbq2kg': 1, 'this': 1, 'is': 3, 'paediatrics': 1, 'encouraging': 1, 'ideology': 1, 'abuse': 1, 'professor': 2, 'state': 1, 'it': 3, 'watch': 1, 'john': 1, 'at': 1, 'allowing': 1, 'by': 1, 'university': 1, 'not': 1, 'whitehall': 1, 'western': 1, 'speech': 1, 'of': 2, 'gender': 1, 'the': 2, 'sydney': 1, 'only': 1}"
4371,we at Da Crib University fr now.,"{'fr': 1, 'crib': 1, 'now': 1, 'at': 1, 'da': 1, 'university': 1, 'we': 1}"
5241,Discover how residential schools continue to affect Indigenous communities in the present day in our revamped Residential Schools in Canada: History and Legacy education guide. Download it for free today.,"{'legacy': 1, 'for': 1, 'schools': 2, 'in': 3, 'history': 1, 'guide': 1, 'our': 1, 'present': 1, 'it': 1, 'affect': 1, 'canada': 1, 'residential': 2, 'to': 1, 'discover': 1, 'education': 1, 'how': 1, 'revamped': 1, 'communities': 1, 'download': 1, 'day': 1, 'continue': 1, 'and': 1, 'indigenous': 1, 'today': 1, 'free': 1, 'the': 1}"
5418,"Jason Kenney,the man solely responsible for decimating albertas health care,education and municipal  finances to aid and abet a few freinds in the dying oil industry is going to Ottawa to beg not for forgiveness,but for the rest of Canada to pay for his ineptness .","{'beg': 1, 'health': 1, 'for': 4, 'in': 1, 'jason': 1, 'is': 1, 'his': 1, 'abet': 1, 'finances': 1, 'aid': 1, 'going': 1, 'rest': 1, 'responsible': 1, 'kenneythe': 1, 'a': 1, 'industry': 1, 'pay': 1, 'man': 1, 'canada': 1, 'dying': 1, 'to': 4, 'oil': 1, 'solely': 1, 'few': 1, 'not': 1, 'decimating': 1, 'albertas': 1, 'ottawa': 1, 'freinds': 1, 'forgivenessbut': 1, 'municipal': 1, 'ineptness': 1, 'of': 1, 'and': 2, 'the': 2, 'careeducation': 1}"
222,RT @AnimalCommando: .@kattavernd: BBC News - Animal testing: US closes 'kitten slaughterhouse' after outcry  https://t.co/YYvMi3yUL6 https:,"{'animalcommando': 1, 'us': 1, 'outcry': 1, 'rt': 1, 'kattavernd': 1, 'https': 1, 'testing': 1, 'animal': 1, 'kitten': 1, 'after': 1, 'closes': 1, 'news': 1, 'httpstcoyyvmi3yul6': 1, 'slaughterhouse': 1, 'bbc': 1}"
270,Wife of Canadas Prime Minister Tests Positive for Virus https://t.co/sTpezkxRkl,"{'for': 1, 'tests': 1, 'minister': 1, 'virus': 1, 'positive': 1, 'wife': 1, 'httpstcostpezkxrkl': 1, 'of': 1, 'prime': 1, 'canadas': 1}"
293,Wife of Canadas Prime Minister Tests Positive for Virus - The New York Times https://t.co/82GXhmgkQl,"{'for': 1, 'tests': 1, 'minister': 1, 'virus': 1, 'new': 1, 'times': 1, 'positive': 1, 'wife': 1, 'httpstco82gxhmgkql': 1, 'of': 1, 'prime': 1, 'canadas': 1, 'york': 1, 'the': 1}"
730,RT @peterfmackay: Anyone else find it ironic that @jkenney is in Ottawa demanding that Trudeau BORROW billions of dollars in order to help,"{'find': 1, 'in': 2, 'peterfmackay': 1, 'is': 1, 'billions': 1, 'else': 1, 'it': 1, 'trudeau': 1, 'jkenney': 1, 'ironic': 1, 'rt': 1, 'borrow': 1, 'that': 2, 'to': 1, 'help': 1, 'dollars': 1, 'order': 1, 'demanding': 1, 'ottawa': 1, 'anyone': 1, 'of': 1}"
938,RT @__knf: we at Da Crib University fr now.,"{'fr': 1, 'rt': 1, 'knf': 1, 'crib': 1, 'now': 1, 'at': 1, 'da': 1, 'university': 1, 'we': 1}"
